x-axis,TITLE2
-2.500000E-06,+603.278934956E-03
-2.497500E-06,+56.545257568E-03
-2.495000E-06,+603.278934956E-03
-2.492500E-06,+56.545257568E-03
-2.490000E-06,+603.278934956E-03
-2.487500E-06,+56.545257569E-03
-2.485000E-06,+56.545257569E-03
-2.482500E-06,+56.545257568E-03
-2.480000E-06,+56.545257568E-03
-2.477500E-06,+1.150012612342E+00
-2.475000E-06,+603.278934956E-03
-2.472500E-06,+56.545257569E-03
-2.470000E-06,+603.278934956E-03
-2.467500E-06,+603.278934956E-03
-2.465000E-06,+603.278934956E-03
-2.462500E-06,+56.545257568E-03
-2.460000E-06,+603.278934956E-03
-2.457500E-06,+603.278934956E-03
-2.455000E-06,+56.545257569E-03
-2.452500E-06,+603.278934956E-03
-2.450000E-06,+603.278934955E-03
-2.447500E-06,+603.278934956E-03
-2.445000E-06,+56.545257568E-03
-2.442500E-06,+603.278934955E-03
-2.440000E-06,+603.278934956E-03
-2.437500E-06,+603.278934956E-03
-2.435000E-06,+603.278934956E-03
-2.432500E-06,+56.545257568E-03
-2.430000E-06,+603.278934956E-03
-2.427500E-06,+603.278934956E-03
-2.425000E-06,+603.278934956E-03
-2.422500E-06,+603.278934956E-03
-2.420000E-06,+603.278934957E-03
-2.417500E-06,+56.545257569E-03
-2.415000E-06,+603.278934956E-03
-2.412500E-06,+1.150012612343E+00
-2.410000E-06,+603.278934956E-03
-2.407500E-06,+603.278934956E-03
-2.405000E-06,+56.545257569E-03
-2.402500E-06,+603.278934956E-03
-2.400000E-06,+603.278934955E-03
-2.397500E-06,+603.278934956E-03
-2.395000E-06,+603.278934956E-03
-2.392500E-06,+603.278934956E-03
-2.390000E-06,+1.150012612343E+00
-2.387500E-06,+603.278934956E-03
-2.385000E-06,+603.278934956E-03
-2.382500E-06,+603.278934956E-03
-2.380000E-06,+603.278934956E-03
-2.377500E-06,+56.545257570E-03
-2.375000E-06,+603.278934956E-03
-2.372500E-06,+603.278934956E-03
-2.370000E-06,+603.278934956E-03
-2.367500E-06,+603.278934956E-03
-2.365000E-06,+603.278934957E-03
-2.362500E-06,+603.278934956E-03
-2.360000E-06,+603.278934954E-03
-2.357500E-06,+1.150012612341E+00
-2.355000E-06,+603.278934956E-03
-2.352500E-06,+603.278934956E-03
-2.350000E-06,+603.278934956E-03
-2.347500E-06,+603.278934956E-03
-2.345000E-06,+56.545257570E-03
-2.342500E-06,+1.150012612343E+00
-2.340000E-06,+603.278934956E-03
-2.337500E-06,+603.278934956E-03
-2.335000E-06,+603.278934956E-03
-2.332500E-06,+603.278934956E-03
-2.330000E-06,+603.278934954E-03
-2.327500E-06,+603.278934956E-03
-2.325000E-06,+603.278934958E-03
-2.322500E-06,+603.278934956E-03
-2.320000E-06,+603.278934956E-03
-2.317500E-06,+1.150012612341E+00
-2.315000E-06,+603.278934956E-03
-2.312500E-06,+603.278934954E-03
-2.310000E-06,+1.150012612339E+00
-2.307500E-06,+56.545257568E-03
-2.305000E-06,+56.545257568E-03
-2.302500E-06,+603.278934956E-03
-2.300000E-06,+603.278934954E-03
-2.297500E-06,+56.545257571E-03
-2.295000E-06,+56.545257571E-03
-2.292500E-06,+56.545257568E-03
-2.290000E-06,+603.278934956E-03
-2.287500E-06,+603.278934956E-03
-2.285000E-06,+603.278934956E-03
-2.282500E-06,+603.278934956E-03
-2.280000E-06,+603.278934956E-03
-2.277500E-06,+56.545257568E-03
-2.275000E-06,+56.545257571E-03
-2.272500E-06,+603.278934956E-03
-2.270000E-06,+56.545257568E-03
-2.267500E-06,+56.545257568E-03
-2.265000E-06,+603.278934953E-03
-2.262500E-06,+603.278934956E-03
-2.260000E-06,+603.278934956E-03
-2.257500E-06,+603.278934956E-03
-2.255000E-06,+56.545257571E-03
-2.252500E-06,+603.278934953E-03
-2.250000E-06,+603.278934956E-03
-2.247500E-06,+603.278934956E-03
-2.245000E-06,+603.278934956E-03
-2.242500E-06,+56.545257568E-03
