xaxis;amplitud
0,000285;3,77812E+13
0,000288;3,83279E+13
0,00029;3,77812E+13
0,000293;3,83279E+13
0,000295;3,77812E+13
0,000298;3,83279E+13
0,0003;3,77812E+13
0,000303;3,83279E+13
0,000305;3,83279E+13
0,000308;3,83279E+13
0,00031;3,83279E+13
0,000313;3,83279E+13
0,000315;3,88746E+13
0,000318;3,83279E+13
0,00032;3,88746E+13
0,000323;3,88746E+13
0,000325;3,88746E+13
0,000328;3,88746E+13
0,00033;3,88746E+13
0,000333;3,94214E+13
0,000335;3,88746E+13
0,000338;3,99681E+13
0,00034;3,94214E+13
0,000343;3,94214E+13
0,000345;3,94214E+13
0,000348;3,94214E+13
0,00035;3,94214E+13
0,000353;3,94214E+13
0,000355;3,99681E+13
0,000358;3,99681E+13
0,00036;3,99681E+13
0,000363;3,99681E+13
0,000365;3,99681E+13
0,000368;3,99681E+13
0,00037;3,99681E+13
0,000373;3,99681E+13
0,000375;3,99681E+13
0,000378;4,05148E+13
0,00038;3,99681E+13
0,000383;3,99681E+13
0,000385;4,05148E+13
0,000388;4,10616E+13
0,00039;4,05148E+13
0,000393;4,05148E+13
0,000395;4,05148E+13
0,000398;4,05148E+13
0,0004;4,05148E+13
0,000403;4,10616E+13
0,000405;4,05148E+13
0,000408;4,10616E+13
0,00041;4,10616E+13
0,000413;4,10616E+13
0,000415;4,10616E+13
0,000418;4,16083E+13
0,00042;4,16083E+13
0,000423;4,16083E+13
0,000425;4,10616E+13
0,000428;4,16083E+13
0,00043;4,10616E+13
0,000433;4,16083E+13
0,000435;4,16083E+13
0,000438;4,16083E+13
0,00044;4,16083E+13
0,000443;4,10616E+13
0,000445;4,10616E+13
0,000448;4,2155E+13
0,00045;4,16083E+13
0,000453;4,16083E+13
0,000455;4,2155E+13
0,000458;4,16083E+13
0,00046;4,2155E+13
0,000463;4,2155E+13
0,000465;4,16083E+13
0,000468;4,27018E+13
0,00047;4,2155E+13
0,000473;4,2155E+13
0,000475;4,27018E+13
0,000478;4,2155E+13
0,00048;4,2155E+13
0,000483;4,2155E+13
0,000485;4,2155E+13
0,000488;4,27018E+13
0,00049;4,27018E+13
0,000493;4,27018E+13
0,000495;4,32485E+13
0,000498;4,32485E+13
0,0005;4,27018E+13
0,000503;4,27018E+13
0,000505;4,27018E+13
0,000508;4,27018E+13
0,00051;4,27018E+13
0,000513;4,37952E+13
0,000515;4,32485E+13
0,000518;4,32485E+13
0,00052;4,32485E+13
0,000523;4,37952E+13
0,000525;4,32485E+13
0,000528;4,32485E+13
0,00053;4,37952E+13
0,000533;4,32485E+13
0,000535;4,37952E+13
0,000538;4,32485E+13
0,00054;4,32485E+13
0,000543;4,37952E+13
0,000545;4,32485E+13
0,000548;4,32485E+13
0,00055;4,32485E+13
0,000553;4,37952E+13
0,000555;4,37952E+13
0,000558;4,37952E+13
0,00056;4,37952E+13
0,000563;4,37952E+13
0,000565;4,37952E+13
0,000568;4,37952E+13
0,00057;4,37952E+13
0,000573;4,4342E+13
0,000575;4,4342E+13
0,000578;4,37952E+13
0,00058;4,37952E+13
0,000583;4,4342E+13
0,000585;4,37952E+13
0,000588;4,37952E+13
0,00059;4,37952E+13
0,000593;4,37952E+13
0,000595;4,4342E+13
0,000598;4,4342E+13
0,0006;4,4342E+13
0,000603;4,48887E+13
0,000605;4,48887E+13
0,000608;4,4342E+13
0,00061;4,48887E+13
0,000613;4,48887E+13
0,000615;4,4342E+13
0,000618;4,4342E+13
0,00062;4,48887E+13
0,000623;4,48887E+13
0,000625;4,48887E+13
0,000628;4,4342E+13
0,00063;4,4342E+13
0,000633;4,48887E+13
0,000635;4,48887E+13
0,000638;4,4342E+13
0,00064;4,48887E+13
0,000643;4,48887E+13
0,000645;4,48887E+13
0,000648;4,48887E+13
0,00065;4,48887E+13
0,000653;4,54354E+13
0,000655;4,54354E+13
0,000658;4,48887E+13
0,00066;4,48887E+13
0,000663;4,48887E+13
0,000665;4,48887E+13
0,000668;4,48887E+13
0,00067;4,48887E+13
0,000673;4,54354E+13
0,000675;4,48887E+13
0,000678;4,54354E+13
0,00068;4,54354E+13
0,000683;4,48887E+13
0,000685;4,48887E+13
0,000688;4,54354E+13
0,00069;4,54354E+13
0,000693;4,54354E+13
0,000695;4,54354E+13
0,000698;4,59822E+13
0,0007;4,59822E+13
0,000703;4,59822E+13
0,000705;4,54354E+13
0,000708;4,54354E+13
0,00071;4,54354E+13
0,000713;4,59822E+13
0,000715;4,59822E+13
0,000718;4,59822E+13
0,00072;4,59822E+13
0,000723;4,59822E+13
0,000725;4,54354E+13
0,000728;4,59822E+13
0,00073;4,59822E+13
0,000733;4,59822E+13
0,000735;4,59822E+13
0,000738;4,59822E+13
0,00074;4,59822E+13
0,000743;4,65289E+13
0,000745;4,59822E+13
0,000748;4,59822E+13
0,00075;4,65289E+13
0,000753;4,59822E+13
0,000755;4,59822E+13
0,000758;4,59822E+13
0,00076;4,59822E+13
0,000763;4,65289E+13
0,000765;4,59822E+13
0,000768;4,59822E+13
0,00077;4,65289E+13
0,000773;4,65289E+13
0,000775;4,59822E+13
0,000778;4,65289E+13
0,00078;4,65289E+13
0,000783;4,65289E+13
0,000785;4,65289E+13
0,000788;4,59822E+13
0,00079;4,65289E+13
0,000793;4,65289E+13
0,000795;4,65289E+13
0,000798;4,65289E+13
0,0008;4,65289E+13
0,000803;4,70756E+13
0,000805;4,65289E+13
0,000808;4,59822E+13
0,00081;4,65289E+13
0,000813;4,59822E+13
0,000815;4,65289E+13
0,000818;4,65289E+13
0,00082;4,65289E+13
0,000823;4,70756E+13
