,"Actual",,"Model"
"Time","Value","Time","Value"
1519.4199,109.24138,1519.4199,0.0
1519.4299,109.23735,1519.4299,0.0
1519.44,108.67813,1519.44,0.0
1519.45,108.79266,1519.45,0.0
1519.46,108.20917,1519.46,0.0
1519.47,108.328674,1519.47,0.0
1519.48,108.3042,1519.48,0.0
1519.49,108.309204,1519.49,0.0
1519.5,108.30818,1519.5,0.0
1519.51,108.308395,1519.51,0.0
1519.52,107.74829,1519.52,0.0
1519.5299,108.423065,1519.5299,0.0
1519.5399,107.72481,1519.5399,0.0
1519.5499,108.42787,1519.5499,0.0
1519.5599,108.84392,1519.5599,0.0
1519.57,108.75871,1519.57,0.0
1519.58,108.77615,1519.58,0.0
1519.59,109.33264,1519.59,0.0
1519.6,109.21866,1519.6,0.0
1519.61,109.242004,1519.61,0.0
1519.62,109.23723,1519.62,0.0
1519.63,108.1181,1519.63,0.0
1519.64,108.907364,1519.64,0.0
1519.65,108.18567,1519.65,0.0
1519.6599,108.33348,1519.6599,0.0
1519.6699,108.30321,1519.6699,0.0
1519.6799,107.74936,1519.6799,0.0
1519.69,108.42285,1519.69,0.0
1519.7,108.844955,1519.7,0.0
1519.71,108.198456,1519.71,0.0
1519.72,108.33087,1519.72,0.0
1519.73,108.863785,1519.73,0.0
1519.74,109.3147,1519.74,0.0
1519.75,108.66228,1519.75,0.0
1519.76,109.35597,1519.76,0.0
1519.77,109.21388,1519.77,0.0
1519.7799,93.56155,1519.7799,0.0
1519.7899,65.964615,1519.7899,0.0
1519.7999,46.41468,1519.7999,0.0
1519.8099,28.016827,1519.8099,0.0
1519.82,11.063156,1519.82,0.0
1519.83,-2.9790273,1519.83,0.0
1519.84,-14.007971,1519.84,0.0
1519.85,-25.297543,1519.85,0.0
1519.86,-34.037956,1519.86,0.0
1519.87,-42.58741,1519.87,0.0
1519.88,-50.10635,1519.88,0.0
1519.89,-57.123283,1519.89,0.0
1519.9,-62.81688,1519.9,0.0
1519.9099,-68.42497,1519.9099,0.0
1519.9199,-72.980965,1519.9199,0.0
1519.9299,-77.395905,1519.9299,0.0
1519.94,-80.413574,1519.94,0.0
1519.95,-83.717445,1519.95,0.0
