,"Actual",,"Model"
"Time","Value","Time","Value"
16.699999,55.199917,16.699999,0.0
16.71,56.95403,16.71,0.0
16.72,58.66365,16.72,0.0
16.73,60.256176,16.73,0.0
16.74,61.605145,16.74,0.0
16.75,62.668392,16.75,0.0
16.76,63.636402,16.76,0.0
16.77,64.57267,16.77,0.0
16.779999,65.498344,16.779999,0.0
16.789999,66.31824,16.789999,0.0
16.8,67.10285,16.8,0.0
16.81,67.77346,16.81,0.0
16.82,68.40605,16.82,0.0
16.83,69.12825,16.83,0.0
16.84,69.57351,16.84,0.0
16.85,70.028725,16.85,0.0
16.859999,70.384995,16.859999,0.0
16.869999,70.81055,16.869999,0.0
16.88,71.15693,16.88,0.0
16.89,71.47692,16.89,0.0
16.9,71.78812,16.9,0.0
16.91,72.096375,16.91,0.0
16.92,72.403656,16.92,0.0
16.93,72.60835,16.93,0.0
16.94,72.778854,16.94,0.0
16.949999,72.93795,16.949999,0.0
16.96,72.99098,16.96,0.0
16.97,73.11092,16.97,0.0
16.98,73.253174,16.98,0.0
16.99,73.402855,16.99,0.0
17.0,73.555016,17.0,0.0
17.01,73.70799,17.01,0.0
17.02,73.75899,17.02,0.0
17.029999,73.775986,17.029999,0.0
17.039999,73.781654,17.039999,0.0
17.05,73.8858,17.05,0.0
17.06,74.02279,17.06,0.0
17.07,74.06845,17.07,0.0
17.08,74.185936,17.08,0.0
17.09,74.12283,17.09,0.0
17.1,74.20406,17.1,0.0
17.109999,74.23114,17.109999,0.0
17.119999,74.240166,17.119999,0.0
17.13,74.24318,17.13,0.0
17.14,74.34644,17.14,0.0
17.15,74.38087,17.15,0.0
17.16,74.494606,17.16,0.0
17.17,74.532524,17.17,0.0
17.18,74.442894,17.18,0.0
17.19,74.41302,17.19,0.0
17.199999,74.40306,17.199999,0.0
17.21,74.39974,17.21,0.0
17.22,74.398636,17.22,0.0
17.23,74.39826,17.23,0.0
17.24,74.39814,17.24,0.0
17.25,74.50037,17.25,0.0
17.26,74.6367,17.26,0.0
17.27,74.57989,17.27,0.0
17.279999,74.56095,17.279999,0.0
17.289999,74.45237,17.289999,0.0
17.3,74.51844,17.3,0.0
17.31,74.54047,17.31,0.0
17.32,74.44554,17.32,0.0
17.33,74.51617,17.33,0.0
17.34,74.641975,17.34,0.0
17.35,74.58164,17.35,0.0
17.359999,74.56153,17.359999,0.0
17.369999,74.45256,17.369999,0.0
17.38,74.41624,17.38,0.0
17.39,74.5064,17.39,0.0
17.4,74.53645,17.4,0.0
17.41,74.54647,17.41,0.0
17.42,74.65208,17.42,0.0
17.43,74.68728,17.43,0.0
17.44,74.59675,17.44,0.0
17.449999,74.4643,17.449999,0.0
17.46,74.42015,17.46,0.0
17.47,74.507706,17.47,0.0
17.48,74.53689,17.48,0.0
17.49,74.44435,17.49,0.0
17.5,74.51577,17.5,0.0
17.51,74.53957,17.51,0.0
17.52,74.54751,17.52,0.0
17.529999,74.44789,17.529999,0.0
17.539999,74.41468,17.539999,0.0
17.55,74.50588,17.55,0.0
17.56,74.53628,17.56,0.0
17.57,74.54641,17.57,0.0
17.58,74.54979,17.58,0.0
17.59,74.55092,17.59,0.0
17.6,74.55129,17.6,0.0
17.609999,74.551414,17.609999,0.0
17.619999,74.55146,17.619999,0.0
17.63,74.551476,17.63,0.0
17.64,74.551476,17.64,0.0
17.65,74.551476,17.65,0.0
17.66,74.551476,17.66,0.0
17.67,74.65374,17.67,0.0
17.68,74.68783,17.68,0.0
17.69,74.59693,17.69,0.0
17.699999,74.56663,17.699999,0.0
17.71,74.556526,17.71,0.0
17.72,74.55316,17.72,0.0
17.73,74.55204,17.73,0.0
17.74,74.55167,17.74,0.0
17.75,74.65381,17.75,0.0
17.76,74.68785,17.76,0.0
17.77,74.6992,17.77,0.0
17.779999,74.60072,17.779999,0.0
17.789999,74.46563,17.789999,0.0
17.8,74.522865,17.8,0.0
17.81,74.54194,17.81,0.0
17.82,74.5483,17.82,0.0
17.83,74.55042,17.83,0.0
17.84,71.99449,17.84,0.0
17.85,66.02924,17.85,0.0
17.859999,59.541153,17.859999,0.0
17.869999,53.08331,17.869999,0.0
17.88,47.249138,17.88,0.0
17.89,41.929653,17.89,0.0
17.9,37.190796,17.9,0.0
17.91,32.95228,17.91,0.0
17.92,29.085068,17.92,0.0
17.93,25.648424,17.93,0.0
17.94,22.559834,17.94,0.0
17.949999,19.894058,17.949999,0.0
17.96,17.57375,17.96,0.0
17.97,15.470864,17.97,0.0
17.98,13.542717,17.98,0.0
17.99,11.877348,17.99,0.0
18.0,10.299571,18.0,0.0
18.01,9.160053,18.01,0.0
18.02,8.064356,18.02,0.0
18.029999,7.0855308,18.029999,0.0
18.039999,6.1456633,18.039999,0.0
18.05,5.218782,18.05,0.0
18.06,4.50076,18.06,0.0
18.07,3.8523574,18.07,0.0
18.08,3.2271616,18.08,0.0
18.09,2.711967,18.09,0.0
18.1,2.1311738,18.1,0.0
18.109999,1.7330452,18.109999,0.0
18.119999,1.395805,18.119999,0.0
18.13,0.97659534,18.13,0.0
18.14,0.632328,18.14,0.0
18.15,0.4153068,18.15,0.0
18.16,0.1384356,18.16,0.0
18.17,0.0461452,18.17,0.0
18.18,0.015381734,18.18,0.0
18.19,0.0051272446,18.19,0.0
18.199999,0.0017090816,18.199999,0.0
18.21,5.6969386E-4,18.21,0.0
18.22,1.8989795E-4,18.22,0.0
18.23,6.329932E-5,18.23,0.0
18.24,2.1099773E-5,18.24,0.0
18.25,7.033258E-6,18.25,0.0
18.26,2.3444195E-6,18.26,0.0
18.27,7.814732E-7,18.27,0.0
18.279999,2.6049108E-7,18.279999,0.0
18.289999,8.683036E-8,18.289999,0.0
18.3,2.8943454E-8,18.3,0.0
18.31,9.6478185E-9,18.31,0.0
18.32,3.2159395E-9,18.32,0.0
18.33,1.0719798E-9,18.33,0.0
18.34,3.573266E-10,18.34,0.0
18.35,1.1910888E-10,18.35,0.0
18.359999,3.970296E-11,18.359999,0.0
18.369999,1.323432E-11,18.369999,0.0
18.38,4.41144E-12,18.38,0.0
18.39,1.47048E-12,18.39,0.0
18.4,4.9016E-13,18.4,0.0
18.41,1.6338667E-13,18.41,0.0
18.42,5.4462223E-14,18.42,0.0
18.43,1.8154074E-14,18.43,0.0
18.44,6.0513584E-15,18.44,0.0
18.449999,2.0171196E-15,18.449999,0.0
18.46,6.723732E-16,18.46,0.0
18.47,2.2412441E-16,18.47,0.0
18.48,7.470814E-17,18.48,0.0
18.49,2.4902714E-17,18.49,0.0
18.5,8.300905E-18,18.5,0.0
18.51,2.7669684E-18,18.51,0.0
18.52,9.223228E-19,18.52,0.0
18.529999,3.0744096E-19,18.529999,0.0
18.539999,1.02480324E-19,18.539999,0.0
18.55,3.416011E-20,18.55,0.0
18.56,1.1386703E-20,18.56,0.0
18.57,3.795568E-21,18.57,0.0
18.58,1.2651893E-21,18.58,0.0
18.59,4.2172979E-22,18.59,0.0
18.6,1.405766E-22,18.6,0.0
18.609999,4.6858868E-23,18.609999,0.0
18.619999,1.5619623E-23,18.619999,0.0
18.63,5.206541E-24,18.63,0.0
18.64,1.7355137E-24,18.64,0.0
18.65,5.785046E-25,18.65,0.0
18.66,1.9283487E-25,18.66,0.0
18.67,6.427829E-26,18.67,0.0
18.68,2.1426097E-26,18.68,0.0
18.69,7.142032E-27,18.69,0.0
18.699999,2.3806774E-27,18.699999,0.0
18.71,7.9355916E-28,18.71,0.0
18.72,2.6451974E-28,18.72,0.0
18.73,8.817325E-29,18.73,0.0
18.74,2.9391084E-29,18.74,0.0
18.75,9.797028E-30,18.75,0.0
18.76,3.265676E-30,18.76,0.0
18.77,1.0885587E-30,18.77,0.0
18.779999,3.6285291E-31,18.779999,0.0
18.789999,1.2095097E-31,18.789999,0.0
18.8,4.0316994E-32,18.8,0.0
18.81,1.3438998E-32,18.81,0.0
18.82,4.479666E-33,18.82,0.0
18.83,1.493222E-33,18.83,0.0
18.84,4.9774067E-34,18.84,0.0
18.85,1.6591357E-34,18.85,0.0
18.859999,5.5304524E-35,18.859999,0.0
18.869999,1.8434842E-35,18.869999,0.0
18.88,6.144948E-36,18.88,0.0
18.89,2.048316E-36,18.89,0.0
18.9,6.82772E-37,18.9,0.0
18.91,2.2759067E-37,18.91,0.0
18.92,7.586356E-38,18.92,0.0
18.93,2.5287855E-38,18.93,0.0
18.939999,0.0,18.939999,0.0
18.949999,0.0,18.949999,0.0
18.96,0.0,18.96,0.0
18.97,0.0,18.97,0.0
18.98,0.0,18.98,0.0
18.99,0.0,18.99,0.0
19.0,0.0,19.0,0.0
19.01,0.0,19.01,0.0
19.02,0.0,19.02,0.0
19.029999,0.0,19.029999,0.0
19.039999,0.0,19.039999,0.0
19.05,0.0,19.05,0.0
19.06,0.0,19.06,0.0
19.07,0.0,19.07,0.0
19.08,0.0,19.08,0.0
19.09,2.6589003,19.09,0.0
19.1,8.453939,19.1,0.0
19.109999,14.783031,19.109999,0.0
19.119999,20.881079,19.119999,0.0
19.13,26.69758,19.13,0.0
19.14,31.806644,19.14,0.0
19.15,36.168564,19.15,0.0
19.16,39.974644,19.16,0.0
19.17,43.49317,19.17,0.0
19.18,46.609062,19.18,0.0
19.189999,49.283936,19.189999,0.0
19.199999,51.70954,19.199999,0.0
19.21,53.94979,19.21,0.0
19.22,55.82146,19.22,0.0
19.23,57.570274,19.23,0.0
19.24,59.0736,19.24,0.0
19.25,60.59736,19.25,0.0
19.26,61.923405,19.26,0.0
19.27,62.97901,19.27,0.0
19.279999,63.944473,19.279999,0.0
19.289999,64.77762,19.289999,0.0
19.3,65.66893,19.3,0.0
19.31,66.57963,19.31,0.0
19.32,67.29225,19.32,0.0
19.33,67.93886,19.33,0.0
19.34,68.56345,19.34,0.0
19.35,69.282974,19.35,0.0
19.359999,69.82961,19.359999,0.0
19.369999,70.21636,19.369999,0.0
19.38,70.549805,19.38,0.0
19.39,70.865486,19.39,0.0
19.4,71.17525,19.4,0.0
19.41,71.483025,19.41,0.0
19.42,71.790146,19.42,0.0
19.43,72.09705,19.43,0.0
19.439999,72.403885,19.439999,0.0
19.449999,72.71069,19.449999,0.0
19.46,72.812965,19.46,0.0
19.47,72.84705,19.47,0.0
19.48,72.960686,19.48,0.0
19.49,73.10083,19.49,0.0
19.5,73.35207,19.5,0.0
19.51,73.43582,19.51,0.0
19.52,73.566,19.52,0.0
19.529999,73.711655,19.529999,0.0
19.539999,73.76021,19.539999,0.0
19.55,73.77639,19.55,0.0
19.56,73.781784,19.56,0.0
19.57,73.88585,19.57,0.0
19.58,73.92054,19.58,0.0
