,"Actual",,"Model"
"Time","Value","Time","Value"
4.4,28.42252,4.4,0.0
4.41,27.268354,4.41,0.0
4.42,26.27004,4.42,0.0
4.43,25.323675,4.43,0.0
4.44,24.599157,4.44,0.0
4.45,23.948591,4.45,0.0
4.46,23.220407,4.46,0.0
4.47,22.670885,4.47,0.0
4.48,22.180914,4.48,0.0
4.49,21.710794,4.49,0.0
4.5,21.247292,4.5,0.0
4.5099998,20.785994,4.5099998,0.0
4.52,20.427696,4.52,0.0
4.5299997,20.103733,4.5299997,0.0
4.54,19.893482,4.54,0.0
4.5499997,19.618866,4.5499997,0.0
4.56,19.322798,4.56,0.0
4.5699997,19.121841,4.5699997,0.0
4.58,18.95259,4.58,0.0
4.5899997,18.79391,4.5899997,0.0
4.6,18.741014,4.6,0.0
4.61,18.621119,4.61,0.0
4.62,18.478888,4.62,0.0
4.63,18.329212,4.63,0.0
4.64,18.27932,4.64,0.0
4.65,18.058159,4.65,0.0
4.66,17.984438,4.66,0.0
4.67,17.8576,4.67,0.0
4.68,17.713055,4.68,0.0
4.69,17.664873,4.69,0.0
4.7,17.546547,4.7,0.0
4.71,17.609371,4.71,0.0
4.72,17.528046,4.72,0.0
4.73,17.500938,4.73,0.0
4.74,17.389635,4.74,0.0
4.75,17.352535,4.75,0.0
4.7599998,17.340168,4.7599998,0.0
4.77,17.233782,4.77,0.0
4.7799997,17.198318,4.7799997,0.0
4.79,17.186499,4.79,0.0
4.7999997,17.080294,4.7999997,0.0
4.81,17.044891,4.81,0.0
4.8199997,17.03309,4.8199997,0.0
4.83,17.029158,4.83,0.0
4.8399997,17.027845,4.8399997,0.0
4.85,16.925142,4.85,0.0
4.8599997,16.890907,4.8599997,0.0
4.87,16.879496,4.87,0.0
4.88,16.875692,4.88,0.0
4.89,16.874424,4.89,0.0
4.9,16.976269,4.9,0.0
4.91,17.112482,4.91,0.0
4.92,17.157887,4.92,0.0
4.93,17.173021,4.93,0.0
4.94,17.178066,4.94,0.0
4.95,17.179747,4.95,0.0
4.96,17.282572,4.96,0.0
4.97,17.214582,4.97,0.0
