,"Actual",,"Model"
"Time","Value","Time","Value"
1.7199999,-150.65176,1.7199999,0.0
1.73,-153.11816,1.73,0.0
1.74,-153.68262,1.74,0.0
1.75,-155.70625,1.75,0.0
1.76,-157.43102,1.76,0.0
1.77,-158.14735,1.77,0.0
1.78,-159.78334,1.78,0.0
1.79,-160.51788,1.79,0.0
1.8,-161.0805,1.8,0.0
1.81,-162.0349,1.81,0.0
1.8199999,-162.19595,1.8199999,0.0
1.8299999,-162.87604,1.8299999,0.0
1.8399999,-163.80637,1.8399999,0.0
1.8499999,-164.3289,1.8499999,0.0
1.86,-164.57843,1.86,0.0
1.87,-165.24039,1.87,0.0
1.88,-165.46135,1.88,0.0
1.89,-166.84225,1.89,0.0
1.9,-166.91595,1.9,0.0
1.91,-167.61392,1.91,0.0
1.92,-166.7579,1.92,0.0
1.93,-166.93323,1.93,0.0
1.9399999,-167.6104,1.9399999,0.0
1.9499999,-167.4717,1.9499999,0.0
1.9599999,-167.85666,1.9599999,0.0
1.9699999,-167.7778,1.9699999,0.0
1.9799999,-167.79396,1.9799999,0.0
1.99,-168.86026,1.99,0.0
2.0,-168.64186,2.0,0.0
2.01,-169.39969,2.01,0.0
2.02,-169.24446,2.02,0.0
2.03,-168.56317,2.03,0.0
2.04,-169.4158,2.04,0.0
2.05,-169.24117,2.05,0.0
2.06,-169.27693,2.06,0.0
2.07,-169.2696,2.07,0.0
2.08,-169.98418,2.08,0.0
2.09,-169.83783,2.09,0.0
2.1,-169.8678,2.1,0.0
2.11,-170.2182,2.11,0.0
2.12,-169.78989,2.12,0.0
2.1299999,-169.87762,2.1299999,0.0
2.1399999,-169.85965,2.1399999,0.0
2.1499999,-169.86333,2.1499999,0.0
2.1599998,-169.86258,2.1599998,0.0
2.1699998,-169.86273,2.1699998,0.0
2.18,-169.8627,2.18,0.0
2.19,-169.8627,2.19,0.0
2.2,-170.21924,2.2,0.0
2.21,-169.78967,2.21,0.0
2.22,-169.87766,2.22,0.0
2.23,-170.21617,2.23,0.0
2.24,-170.85994,2.24,0.0
2.25,-170.01498,2.25,0.0
2.26,-169.83151,2.26,0.0
2.27,-169.8691,2.27,0.0
2.28,-169.86139,2.28,0.0
2.29,-169.86298,2.29,0.0
2.3,-169.86266,2.3,0.0
2.31,-169.86272,2.31,0.0
2.32,-169.8627,2.32,0.0
2.33,-169.8627,2.33,0.0
2.34,-170.21924,2.34,0.0
2.35,-170.14621,2.35,0.0
2.36,-170.16118,2.36,0.0
2.37,-169.80157,2.37,0.0
2.3799999,-169.87523,2.3799999,0.0
2.3899999,-170.21667,2.3899999,0.0
2.3999999,-169.7902,2.3999999,0.0
2.4099998,-169.87755,2.4099998,0.0
2.4199998,-169.85966,2.4199998,0.0
2.4299998,-169.86333,2.4299998,0.0
2.44,-169.86258,2.44,0.0
2.45,-170.21927,2.45,0.0
2.46,-170.8593,2.46,0.0
2.47,-170.01512,2.47,0.0
2.48,-170.18802,2.48,0.0
2.49,-170.1526,2.49,0.0
2.5,-170.15987,2.5,0.0
2.51,-170.15837,2.51,0.0
2.52,-170.15868,2.52,0.0
2.53,-170.15862,2.53,0.0
2.54,-170.15863,2.54,0.0
2.55,-170.15863,2.55,0.0
2.56,-170.15863,2.56,0.0
2.57,-170.15863,2.57,0.0
2.58,-170.15863,2.58,0.0
2.59,-170.15863,2.59,0.0
2.6,-170.15863,2.6,0.0
2.61,-170.15863,2.61,0.0
2.62,-169.8021,2.62,0.0
2.6299999,-170.23166,2.6299999,0.0
2.6399999,-170.14368,2.6399999,0.0
2.6499999,-169.80516,2.6499999,0.0
2.6599998,-169.8745,2.6599998,0.0
2.6699998,-170.21683,2.6699998,0.0
2.6799998,-170.14671,2.6799998,0.0
2.69,-170.16107,2.69,0.0
2.7,-169.80159,2.7,0.0
2.71,-148.48282,2.71,0.0
2.72,-111.49071,2.72,0.0
2.73,-84.1265,2.73,0.0
2.74,-57.286095,2.74,0.0
2.75,-32.1211,2.75,0.0
2.76,-10.891432,2.76,0.0
2.77,8.391341,2.77,0.0
2.78,24.60371,2.78,0.0
2.79,38.084644,2.79,0.0
2.8,49.88483,2.8,0.0
2.81,59.22901,2.81,0.0
2.82,67.956116,2.82,0.0
2.83,76.249565,2.83,0.0
2.84,81.83157,2.84,0.0
2.85,87.96894,2.85,0.0
2.86,93.99256,2.86,0.0
2.87,99.479416,2.87,0.0
2.8799999,105.63628,2.8799999,0.0
2.8899999,110.53581,2.8899999,0.0
2.8999999,115.69284,2.8999999,0.0
2.9099998,119.11699,2.9099998,0.0
2.9199998,123.45613,2.9199998,0.0
2.9299998,126.48775,2.9299998,0.0
2.9399998,130.90729,2.9399998,0.0
2.95,133.92244,2.95,0.0
2.96,136.66519,2.96,0.0
2.97,139.46373,2.97,0.0
2.98,142.25084,2.98,0.0
2.99,143.36014,2.99,0.0
3.0,145.9332,3.0,0.0
3.01,147.64638,3.01,0.0
3.02,148.4156,3.02,0.0
3.03,151.05829,3.03,0.0
3.04,152.75723,3.04,0.0
3.05,153.52936,3.05,0.0
3.06,154.49132,3.06,0.0
3.07,155.97444,3.07,0.0
3.08,156.79079,3.08,0.0
3.09,157.74368,3.09,0.0
3.1,159.22864,3.1,0.0
3.11,159.48456,3.11,0.0
3.12,160.55223,3.12,0.0
3.1299999,160.89362,3.1299999,0.0
3.1399999,161.38376,3.1399999,0.0
3.1499999,162.40346,3.1499999,0.0
3.1599998,163.31471,3.1599998,0.0
3.1699998,163.12807,3.1699998,0.0
3.1799998,163.16629,3.1799998,0.0
3.1899998,164.27856,3.1899998,0.0
3.1999998,164.05075,3.1999998,0.0
3.21,164.09741,3.21,0.0
3.22,164.64792,3.22,0.0
3.23,165.09518,3.23,0.0
3.24,165.00359,3.24,0.0
3.25,165.02234,3.25,0.0
3.26,165.01851,3.26,0.0
3.27,166.1394,3.27,0.0
3.28,166.46986,3.28,0.0
3.29,166.40218,3.29,0.0
3.3,166.41605,3.3,0.0
3.31,165.85316,3.31,0.0
3.32,165.96844,3.32,0.0
3.33,166.50488,3.33,0.0
3.34,166.395,3.34,0.0
3.35,165.85747,3.35,0.0
3.36,165.96758,3.36,0.0
3.37,166.50507,3.37,0.0
